"","ID","Species","Date.collected","Date.intestine.dissected","Date.fish.dissected","island","fishingstatus","Station","sitechla","chla","latitude","depth","Habitat","TL","TL..mm.","FL..mm.","SL..mm.","TWW..g.","Intestine.weight..g.","Gonads","Gonad.voucher","TREM.ALL","CEST.ALL","COP.ALL","ISO.ALL","NEM.ALL"
"1","1001","ACANIG","5-Nov-10","5-Mar-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",115,115,112,93,37,1.77,"?",15449,6,0,0,0,0
"2","1002","ACANIG","5-Nov-10","14-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",146,146,142,118,82.18,8.46,"M",15037,10,0,0,0,1
"3","1003","ACANIG","5-Nov-10","7-Feb-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",159,159,155,NA,112.16,11.5,"M",15451,130,0,0,0,0
"4","1008","ACANIG","5-Nov-10","7-Feb-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",160,160,155,130,124,13.08,"F1",15460,91,0,0,0,0
"5","1106","ACANIG","9-Nov-10","14-Feb-12","20-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",170,170,162,129,115.29,11.18,"?",NA,293,4,0,0,1
"6","1108","ACANIG","9-Nov-10","21-Feb-12","16-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",222,222,213,173,264,38.97,"F3",15743,658,0,0,0,0
"7","1109","ACANIG","9-Nov-10","17-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",197,197,185,148,190,19.57,"F3",16949,22,0,0,0,0
"8","1114","ACANIG","9-Nov-10","20-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",164,164,159,130,115.73,38.13,"M",12429,201,0,0,0,2
"9","1115","ACANIG","9-Nov-10","21-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",217,217,208,173,268,38.96,"F3",16048,420,7,0,0,0
"10","1116","ACANIG","9-Nov-10","21-Jan-12","25-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",167,167,159,127,100,9.2,"M",11769,168,0,0,0,1
"11","1118","ACANIG","9-Nov-10","20-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",219,219,199,165,247,38.13,"F3",9163,516,1,0,0,0
"12","1118","ACANIG","9-Nov-10","20-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",219,219,199,165,247,38.13,"F3",9163,544,1,0,0,0
"13","1119","ACANIG","9-Nov-10","21-Jan-12","25-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",162,162,158,128,113,11.59,"M",12122,461,25,0,0,0
"14","1120","ACANIG","9-Nov-10","21-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",215,215,206,171,268.83,32.92,"F3",17227,439,1,1,0,0
"15","1745","ACANIG","5-Nov-10","3-Feb-12","18-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",225,225,215,176,243,1.67,"F3",9778,56,0,0,0,0
"16","1746","ACANIG","5-Nov-10","20-Jan-12","13-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",219,219,206,169,236,31.23,"?",9176,173,0,0,0,0
"17","1747","ACANIG","5-Nov-10","24-Feb-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",197,197,194,159,210,31.41,"F3",9494,61,0,0,0,0
"18","1748","ACANIG","5-Nov-10","21-Feb-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",168,168,164,131,95.21,6.71,"M",9785,200,0,0,0,0
"19","1749","ACANIG","5-Nov-10","21-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",165,165,158,129,110,9.59,"?",NA,106,2,0,0,0
"20","1750","ACANIG","5-Nov-10","14-Feb-12","16-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",200,200,194,161,242,30.73,"?",9188,310,0,0,0,0
"21","1751","ACANIG","5-Nov-10","21-Jan-12","20-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",130,130,123,99,50,3.67,"?",NA,0,0,0,0,0
"22","1752","ACANIG","5-Nov-10","31-Jan-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",197,197,189,155,220,47.47,"F3",9475,27,0,0,0,0
"23","1753","ACANIG","5-Nov-10","17-Jan-12","16-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",208,208,202,168,226,15.6,"F3",9171,30,0,0,0,0
"24","1755","ACANIG","5-Nov-10","20-Jan-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",205,205,202,162,229,31.17,"F3",9489,89,0,0,0,0
"25","1756","ACANIG","5-Nov-10","21-Feb-12","16-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",205,205,202,173,239,35.73,"F3",12021,231,0,0,0,0
"26","1758","ACANIG","5-Nov-10","21-Jan-12","20-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",154,154,150,125,92,7.5,"M",9467,12,0,0,0,0
"27","1760","ACANIG","5-Nov-10","27-Jan-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",190,190,185,155,209,27,"?",NA,219,0,0,0,0
"28","1795","ACANIG","5-Nov-10","17-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",95,95,93,77,NA,1.97,"?",15045,0,0,0,0,0
"29","1797","ACANIG","5-Nov-10","3-Feb-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",125,125,120,100,50.78,3.84,"?",15444,14,0,0,0,0
"30","1799","ACANIG","5-Nov-10","3-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",120,120,115,95,43,4.18,"?",NA,0,0,0,0,0
"31","1907","ACANIG","9-Nov-10","14-Feb-12","12-Apr-12","Teraina","fished","TER-2010-F2",0.156,0.154,4.67392,35,"forereef",208,208,201,164,260,34.17,"F3",9161,243,0,0,0,0
"32","1918","ACANIG","9-Nov-10","17-Jan-12","25-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",152,152,144,115,83,6.95,"?",NA,39,0,0,0,0
"33","1920","ACANIG","9-Nov-10","31-Jan-12","13-Apr-12","Teraina","fished","TER-2010-F3",0.153,0.154,4.70242,35,"forereef",194,194,189,157,196,26.98,"F3",12339,122,2,0,0,0
"34","1936","ACANIG","12-Nov-10","20-Jan-12","12-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",179,179,170,146,144.08,9.99,"F1",11367,335,13,0,0,0
"35","1953","ACANIG","12-Nov-10","17-Feb-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",219,219,208,176,319,44.83,"F3",16966,876,8,0,1,0
"36","1957","ACANIG","12-Nov-10","21-Feb-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",188,188,180,154,162,17.64,"F1",16620,399,2,0,0,0
"37","1958","ACANIG","12-Nov-10","14-Feb-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",219,219,210,180,315,40.12,"F3",9172,1757,1,0,0,0
"38","2017","ACANIG","19-Nov-10","31-Jan-12","18-Apr-12","Kiritimati","fished","KIR-2010-F1",0.212,0.19,2.02572,35,"forereef",208,208,201,169,230,22.23,"F3",12329,1447,5,0,0,0
"39","2018","ACANIG","19-Nov-10","26-Jan-12","19-Apr-12","Kiritimati","fished","KIR-2010-F1",0.212,0.19,2.02572,35,"forereef",146,146,142,117,80.52,7.35,"?",NA,291,0,0,0,0
"40","2450","ACANIG","31-Oct-10","7-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",174.3,174.3,164.3,134.5,116.76,19.58,"?",NA,220,0,0,0,0
"41","2451","ACANIG","31-Oct-10","27-Jan-12","19-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",173.5,173.5,162.2,133.4,115.69,20.19,"F1",11828,317,0,0,0,0
"42","2453","ACANIG","31-Oct-10","27-Jan-12","19-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",177.5,177.5,169.3,147.5,100.5,17.01,"?",NA,182,2,0,0,0
"43","2499","ACANIG","2-Nov-10","27-Jan-12","19-Apr-12","Kingman","unfished","KIN-2010-F5",0.117,0.132,6.42968,60,"forereef",175.7,175.7,165.1,135.4,130.36,20.14,"?",NA,61,3,0,0,0
"44","2500","ACANIG","2-Nov-10","27-Jan-12","23-Apr-12","Kingman","unfished","KIN-2010-F5",0.117,0.132,6.42968,60,"forereef",157.3,157.3,146.8,122.5,99.73,14.45,"F3",12341,0,0,0,0,1
"45","2503","ACANIG","2-Nov-10","24-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F5",0.117,0.132,6.42968,60,"forereef",164.2,164.2,156.7,131.7,131.31,19.17,"F3",11360,6,0,0,0,0
"46","2547","ACANIG","5-Nov-10","24-Feb-12","18-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",154,154,146,125,91,8.82,"M",12091,102,0,1,0,1
"47","2548","ACANIG","5-Nov-10","21-Jan-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",123,123,118,97,39,5.01,"F1",11459,15,0,0,0,0
"48","2549","ACANIG","5-Nov-10","3-Feb-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",155,155,148,125,91,8.22,"M",11813,167,0,0,0,0
"49","2552","ACANIG","5-Nov-10","21-Jan-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",151,151,148,120,84.53,8.1,"?",NA,24,0,0,0,0
"50","2553","ACANIG","5-Nov-10","7-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",147,147,136,114,76,7.65,"M",12064,19,0,0,0,0
"51","2554","ACANIG","5-Nov-10","17-Feb-12","13-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",211,211,205,170,2.59,35.36,"F3",12333,92,1,0,0,0
"52","2555","ACANIG","5-Nov-10","27-Jan-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",231,231,214,175,276,28.55,"F3",12337,61,0,0,0,0
"53","2559","ACANIG","5-Nov-10","20-Jan-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",180,180,169,139,145,17.36,"?",NA,70,0,0,0,1
"54","2626","ACANIG","8-Nov-10","27-Jan-12","13-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",190,190,181,152,185.45,25.79,"F3",12332,114,1,0,0,0
"55","2627","ACANIG","8-Nov-10","27-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",199,199,190,161,185,26.57,"?",NA,10,0,0,0,0
"56","2628","ACANIG","8-Nov-10","17-Jan-12","23-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",145,145,139,114,69.91,7.88,"?",NA,52,1,0,0,2
"57","2630","ACANIG","8-Nov-10","31-Jan-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",201,201,199,168,218,36.7,"F3",9492,108,0,1,0,1
"58","2632","ACANIG","8-Nov-10","20-Jan-12","20-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",158,158,152,127,87.63,8.56,"?",NA,38,1,0,0,2
"59","2633","ACANIG","8-Nov-10","20-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,155,130,103.33,9.11,"M",9720,141,0,0,0,0
"60","2634","ACANIG","8-Nov-10","27-Jan-12","13-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",181,181,175,151,174.85,25.8,"?",12098,102,0,0,0,1
"61","2636","ACANIG","8-Nov-10","14-Mar-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,0.71,"F1",9748,18,0,0,0,0
"62","2636","ACANIG","8-Nov-10","14-Mar-12","12-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,0.71,"F1",9748,18,0,0,0,0
"63","2636","ACANIG","8-Nov-10","21-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,17.02,"?",NA,39,0,0,0,0
"64","2636","ACANIG","8-Nov-10","21-Jan-12","18-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,156,132,113,17.02,"?",NA,39,0,0,0,0
"65","2637","ACANIG","8-Nov-10","31-Jan-12","16-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",200,200,191,159,185,27.16,"?",NA,86,0,0,0,0
"66","2639","ACANIG","8-Nov-10","14-Feb-12","25-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,153,129,91,11.45,"?",NA,175,0,0,0,1
